epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71078,1.76811,4.12688,0.9598,0.01589,0.66667,0.02683,0.01868,0.67854,4.03796,0.7825,1.429e-05,1.429e-05,1.429e-05
2,6.1425,1.81374,4.12373,0.98519,0.01731,0.71429,0.03117,0.02166,0.61464,4.01152,0.7821,4.20212e-05,4.20212e-05,4.20212e-05
3,9.14873,1.67564,4.11053,0.88305,0.023,0.85714,0.03641,0.02155,1.03154,4.0241,0.80789,6.86206e-05,6.86206e-05,6.86206e-05
4,11.839,0.93042,3.8533,0.86606,0.02688,1,0.04827,0.0189,1.61318,4.02962,0.86102,9.40882e-05,9.40882e-05,9.40882e-05
5,14.3525,1.03693,3.81064,0.83502,0.02588,1,0.04835,0.01877,1.73788,3.99973,0.87761,0.000118424,0.000118424,0.000118424
6,17.1702,1.08619,3.70304,0.83994,0.02465,1,0.04922,0.0227,1.70375,3.95289,0.87668,0.000141628,0.000141628,0.000141628
7,20.1316,1.34106,3.6304,0.82809,0.024,1,0.04991,0.02951,1.47993,3.88175,0.84565,0.000163701,0.000163701,0.000163701
8,22.6594,1.2457,3.2247,0.8428,0.02269,1,0.04456,0.03257,1.18181,3.80209,0.81147,0.000184641,0.000184641,0.000184641
9,25.3789,1.18491,3.36068,0.82219,0.02218,1,0.04444,0.03374,1.02135,3.7612,0.79434,0.00020445,0.00020445,0.00020445
10,28.1623,1.00632,3.00229,0.83507,0.02188,1,0.04559,0.03306,0.93932,3.74096,0.78721,0.000223127,0.000223127,0.000223127
11,30.941,0.82938,2.40387,0.83592,0.02161,1,0.04822,0.03027,0.97918,3.72506,0.78868,0.000240672,0.000240672,0.000240672
12,33.3858,1.11079,1.81047,0.7896,0.02161,1,0.04822,0.03027,0.97918,3.72506,0.78868,0.000257086,0.000257086,0.000257086
13,35.8471,1.08568,2.09181,0.80878,0.02143,1,0.22827,0.14542,0.92292,3.6375,0.78186,0.000272367,0.000272367,0.000272367
14,38.3172,0.87325,2.14323,0.81367,0.02116,1,0.30986,0.21351,0.78728,3.53013,0.77145,0.000286517,0.000286517,0.000286517
15,40.7402,0.89602,2.13185,0.79876,0.02116,1,0.30986,0.21351,0.78728,3.53013,0.77145,0.000299536,0.000299536,0.000299536
16,43.4744,1.11009,2.54697,0.79883,0.02108,1,0.37183,0.27618,0.72147,3.39123,0.767,0.000311422,0.000311422,0.000311422
17,46.015,1.10313,1.86439,0.83527,0.02104,1,0.43742,0.322,0.73799,3.24679,0.76691,0.000322177,0.000322177,0.000322177
18,48.4663,0.7526,1.581,0.75513,0.02104,1,0.43742,0.322,0.73799,3.24679,0.76691,0.0003318,0.0003318,0.0003318
19,51.0353,0.93243,1.54274,0.79132,0.02102,1,0.5053,0.35802,0.76558,3.10979,0.77377,0.000340291,0.000340291,0.000340291
20,53.4287,0.7035,1.04726,0.79038,0.02102,1,0.5053,0.35802,0.76558,3.10979,0.77377,0.00034765,0.00034765,0.00034765
21,56.187,0.7978,2.88748,0.83428,1,0.09272,0.59656,0.43433,0.73067,2.98035,0.77345,0.000353878,0.000353878,0.000353878
22,58.7292,0.87368,1.951,0.78931,1,0.09272,0.59656,0.43433,0.73067,2.98035,0.77345,0.000358973,0.000358973,0.000358973
23,61.9801,0.91958,1.55025,0.79853,1,0.0845,0.60707,0.45655,0.74506,2.86893,0.77347,0.000362937,0.000362937,0.000362937
24,64.4969,0.64552,1.07168,0.82997,1,0.0845,0.60707,0.45655,0.74506,2.86893,0.77347,0.00036577,0.00036577,0.00036577
25,67.2597,1.00337,2.33372,0.83081,1,0.08944,0.61281,0.4797,0.76915,2.76528,0.77513,0.00036747,0.00036747,0.00036747
26,69.7691,1.08921,2.11195,0.78343,1,0.08944,0.61281,0.4797,0.76915,2.76528,0.77513,0.000368039,0.000368039,0.000368039
27,72.14,1.09794,1.49404,0.82334,1,0.08944,0.61281,0.4797,0.76915,2.76528,0.77513,0.000367476,0.000367476,0.000367476
28,74.8077,1.07085,1.58569,0.79898,1,0.09316,0.62409,0.50949,0.72572,2.65075,0.77255,0.000365781,0.000365781,0.000365781
29,77.0808,0.84953,1.36991,0.80934,1,0.09316,0.62409,0.50949,0.72572,2.65075,0.77255,0.000362955,0.000362955,0.000362955
30,79.6571,0.97079,1.69593,0.81038,1,0.13399,0.63445,0.5386,0.65693,2.5677,0.7721,0.000358996,0.000358996,0.000358996
31,81.9516,0.82136,1.47292,0.84342,1,0.13399,0.63445,0.5386,0.65693,2.5677,0.7721,0.000353906,0.000353906,0.000353906
32,84.4482,0.80511,1.37062,0.79379,1,0.13399,0.63445,0.5386,0.65693,2.5677,0.7721,0.000347684,0.000347684,0.000347684
33,87.2684,0.85212,1.57191,0.7962,1,0.1588,0.65451,0.54435,0.67465,2.49224,0.77234,0.000340331,0.000340331,0.000340331
34,89.7752,0.75044,1.29084,0.83209,1,0.1588,0.65451,0.54435,0.67465,2.49224,0.77234,0.000331845,0.000331845,0.000331845
35,92.1606,0.815,1.6588,0.81489,1,0.1588,0.65451,0.54435,0.67465,2.49224,0.77234,0.000322228,0.000322228,0.000322228
36,94.8016,0.70008,1.24864,0.78645,0.92608,0.27977,0.67124,0.52779,0.72441,2.39339,0.77582,0.000311479,0.000311479,0.000311479
37,97.2371,0.62153,1.07766,0.82096,0.92608,0.27977,0.67124,0.52779,0.72441,2.39339,0.77582,0.000299598,0.000299598,0.000299598
38,99.6211,0.74463,1.08462,0.76396,0.92608,0.27977,0.67124,0.52779,0.72441,2.39339,0.77582,0.000286586,0.000286586,0.000286586
39,102.049,1.2049,1.3606,0.8147,0.62066,0.59923,0.69982,0.54392,0.72773,2.25345,0.77812,0.000272442,0.000272442,0.000272442
40,104.493,0.81409,1.47865,0.82117,0.62066,0.59923,0.69982,0.54392,0.72773,2.25345,0.77812,0.000257166,0.000257166,0.000257166
41,106.836,0.77404,1.64748,0.85438,0.62066,0.59923,0.69982,0.54392,0.72773,2.25345,0.77812,0.000240758,0.000240758,0.000240758
42,109.435,0.66681,1.2589,0.69371,0.65423,0.88888,0.74094,0.58381,0.71825,2.03403,0.77845,0.000223218,0.000223218,0.000223218
43,111.827,0.61946,1.06642,0.81423,0.65423,0.88888,0.74094,0.58381,0.71825,2.03403,0.77845,0.000204547,0.000204547,0.000204547
44,114.18,0.86687,2.12166,0.79627,0.65423,0.88888,0.74094,0.58381,0.71825,2.03403,0.77845,0.000184744,0.000184744,0.000184744
45,116.641,0.71324,0.96463,0.7878,0.65423,0.88888,0.74094,0.58381,0.71825,2.03403,0.77845,0.000163809,0.000163809,0.000163809
46,119.302,0.58601,0.96893,0.82439,0.65749,0.86818,0.7496,0.61103,0.71834,1.84064,0.7789,0.000141743,0.000141743,0.000141743
47,121.62,0.55083,0.89295,0.7853,0.65749,0.86818,0.7496,0.61103,0.71834,1.84064,0.7789,0.000118544,0.000118544,0.000118544
48,124.029,0.5879,1.65145,0.77419,0.65749,0.86818,0.7496,0.61103,0.71834,1.84064,0.7789,9.4214e-05,9.4214e-05,9.4214e-05
49,126.343,0.66485,1.41306,0.7986,0.65749,0.86818,0.7496,0.61103,0.71834,1.84064,0.7789,6.8752e-05,6.8752e-05,6.8752e-05
50,129.016,0.66437,0.9927,0.78955,0.63512,0.88952,0.75276,0.61058,0.72249,1.69096,0.7797,4.21584e-05,4.21584e-05,4.21584e-05
