epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74999,1.16384,3.9195,0.97412,0.00119,0.04762,0.01662,0.00831,0.54958,3.73177,0.80588,1.429e-05,1.429e-05,1.429e-05
2,11.9412,1.11386,3.7538,0.93901,0.00208,0.09524,0.02535,0.0124,0.50927,3.7161,0.79351,4.20212e-05,4.20212e-05,4.20212e-05
3,15.994,0.87514,3.7139,0.85625,0.00296,0.14286,0.0259,0.01547,0.77098,3.70374,0.80461,6.86206e-05,6.86206e-05,6.86206e-05
4,20.2829,0.71488,3.51196,0.85018,0.00415,0.19048,0.04268,0.01721,1.16744,3.72027,0.85994,9.40882e-05,9.40882e-05,9.40882e-05
5,24.0829,0.90083,3.36388,0.84098,0.00612,0.28571,0.061,0.02304,1.20268,3.70219,0.86726,0.000118424,0.000118424,0.000118424
6,28.0162,0.94663,2.87856,0.91696,0.01322,0.62857,0.12555,0.05995,1.15993,3.6145,0.85177,0.000141628,0.000141628,0.000141628
7,32.0164,0.83051,2.63842,0.84522,0.01877,0.88571,0.3291,0.1793,0.99314,3.53584,0.82449,0.000163701,0.000163701,0.000163701
8,36.0205,0.81827,2.70115,0.91805,0.02114,1,0.42184,0.22239,0.81535,3.50049,0.80355,0.000184641,0.000184641,0.000184641
9,39.9386,0.83744,2.00436,0.8795,0.02107,1,0.42472,0.25633,0.72068,3.43365,0.79336,0.00020445,0.00020445,0.00020445
10,43.8997,0.72281,2.0254,0.81977,0.02102,1,0.49096,0.34317,0.65839,3.33809,0.79158,0.000223127,0.000223127,0.000223127
11,47.7405,0.63484,1.42367,0.81312,0.021,1,0.44138,0.28051,0.63701,3.27167,0.78478,0.000240672,0.000240672,0.000240672
12,51.3394,0.65921,1.65804,0.82033,0.021,1,0.44138,0.28051,0.63701,3.27167,0.78478,0.000257086,0.000257086,0.000257086
13,55.2662,0.70559,2.01274,0.79165,0.02102,1,0.45835,0.25362,0.60531,3.24129,0.78002,0.000272367,0.000272367,0.000272367
14,59.0251,0.61285,1.46429,0.81908,0.02102,1,0.47946,0.25234,0.58804,3.21124,0.77889,0.000286517,0.000286517,0.000286517
15,62.8659,0.70416,3.28581,0.88537,0.02102,1,0.47946,0.25234,0.58804,3.21124,0.77889,0.000299536,0.000299536,0.000299536
16,66.7828,0.6335,1.7636,0.85027,0.02106,1,0.51144,0.2817,0.5999,3.16144,0.78436,0.000311422,0.000311422,0.000311422
17,70.5436,0.59111,1.30436,0.80693,0.02116,1,0.51723,0.29833,0.59829,3.12965,0.78662,0.000322177,0.000322177,0.000322177
18,74.3165,0.87564,2.15335,1.0189,0.02116,1,0.51723,0.29833,0.59829,3.12965,0.78662,0.0003318,0.0003318,0.0003318
19,78.1829,0.66816,1.50668,0.83527,0.02123,1,0.60553,0.37575,0.57363,3.11327,0.79208,0.000340291,0.000340291,0.000340291
20,81.8827,0.90252,1.97167,0.82168,0.02123,1,0.60553,0.37575,0.57363,3.11327,0.79208,0.00034765,0.00034765,0.00034765
21,85.8525,0.62166,1.79879,0.86368,0.02154,1,0.61825,0.43585,0.54855,3.06927,0.79199,0.000353878,0.000353878,0.000353878
22,89.7319,0.58526,1.55397,0.80078,0.02154,1,0.61825,0.43585,0.54855,3.06927,0.79199,0.000358973,0.000358973,0.000358973
23,93.6827,0.59125,1.42481,0.83779,0.02201,1,0.66735,0.49338,0.53523,3.04435,0.79199,0.000362937,0.000362937,0.000362937
24,97.5122,0.59456,1.5104,0.8367,0.02201,1,0.66735,0.49338,0.53523,3.04435,0.79199,0.00036577,0.00036577,0.00036577
25,101.449,0.53345,1.57821,0.82352,0.02211,1,0.68297,0.49483,0.57742,2.99771,0.8037,0.00036747,0.00036747,0.00036747
26,105.066,0.57351,1.41185,0.8487,0.02211,1,0.68297,0.49483,0.57742,2.99771,0.8037,0.000368039,0.000368039,0.000368039
27,108.899,0.56898,1.37815,0.81707,0.02211,1,0.68297,0.49483,0.57742,2.99771,0.8037,0.000367476,0.000367476,0.000367476
28,112.838,0.48532,1.29333,0.81886,0.02223,1,0.69689,0.54636,0.57296,2.90919,0.81497,0.000365781,0.000365781,0.000365781
29,116.833,0.54847,1.37781,0.85003,0.02223,1,0.69689,0.54636,0.57296,2.90919,0.81497,0.000362955,0.000362955,0.000362955
30,121.742,0.5718,1.49491,0.84321,0.02212,1,0.79083,0.65725,0.55688,2.79817,0.82105,0.000358996,0.000358996,0.000358996
31,125.949,0.6599,1.36084,0.91938,0.02212,1,0.79083,0.65725,0.55688,2.79817,0.82105,0.000353906,0.000353906,0.000353906
32,130.366,0.65832,1.10699,0.86271,0.02212,1,0.79083,0.65725,0.55688,2.79817,0.82105,0.000347684,0.000347684,0.000347684
33,134.871,0.61119,1.08668,0.80629,0.73383,0.85714,0.85347,0.72135,0.54616,2.62491,0.82878,0.000340331,0.000340331,0.000340331
34,139.092,0.5328,0.89806,0.84729,0.73383,0.85714,0.85347,0.72135,0.54616,2.62491,0.82878,0.000331845,0.000331845,0.000331845
35,143.566,0.61867,0.99209,0.83514,0.73383,0.85714,0.85347,0.72135,0.54616,2.62491,0.82878,0.000322228,0.000322228,0.000322228
36,148.182,0.56438,0.92179,0.8116,1,0.09311,0.91902,0.8141,0.52628,2.40017,0.8284,0.000311479,0.000311479,0.000311479
37,151.899,0.46764,0.78126,0.84403,1,0.09311,0.91902,0.8141,0.52628,2.40017,0.8284,0.000299598,0.000299598,0.000299598
38,155.731,0.48425,1.12191,0.80074,1,0.09311,0.91902,0.8141,0.52628,2.40017,0.8284,0.000286586,0.000286586,0.000286586
39,162.956,0.60004,1.0552,0.82378,1,0.53143,0.96389,0.85104,0.49653,2.1549,0.83246,0.000272442,0.000272442,0.000272442
40,168.488,0.54042,1.30049,0.84558,1,0.53143,0.96389,0.85104,0.49653,2.1549,0.83246,0.000257166,0.000257166,0.000257166
41,173.718,0.52638,1.03777,0.86432,1,0.53143,0.96389,0.85104,0.49653,2.1549,0.83246,0.000240758,0.000240758,0.000240758
42,179.648,0.63287,1.15134,0.8683,0.96352,0.67519,0.97426,0.87763,0.49363,1.95752,0.83505,0.000223218,0.000223218,0.000223218
43,185.028,0.50572,1.09991,0.89917,0.96352,0.67519,0.97426,0.87763,0.49363,1.95752,0.83505,0.000204547,0.000204547,0.000204547
44,190.192,0.52758,1.24707,0.82119,0.96352,0.67519,0.97426,0.87763,0.49363,1.95752,0.83505,0.000184744,0.000184744,0.000184744
45,195.923,0.56448,0.9286,0.82144,0.96352,0.67519,0.97426,0.87763,0.49363,1.95752,0.83505,0.000163809,0.000163809,0.000163809
46,201.579,0.6585,0.96168,0.80888,0.95599,0.84995,0.98463,0.89153,0.49584,1.75378,0.83696,0.000141743,0.000141743,0.000141743
