epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92254,2.20261,3.96566,1.00851,0.00644,0.38095,0.0064,0.00421,0.93279,4.12101,0.77315,1.429e-05,1.429e-05,1.429e-05
2,6.63247,1.72746,3.90301,0.94059,0.00642,0.38095,0.00636,0.00445,0.74369,4.10379,0.74954,4.20212e-05,4.20212e-05,4.20212e-05
3,9.39545,1.32061,3.77984,0.84473,0.00757,0.42857,0.00773,0.00407,0.95144,4.11018,0.73959,6.86206e-05,6.86206e-05,6.86206e-05
4,12.0682,1.13701,3.76738,0.7992,0.01366,0.66667,0.0176,0.00827,1.5733,4.04489,0.76681,9.40882e-05,9.40882e-05,9.40882e-05
5,14.4023,1.3764,3.74171,0.84231,0.01418,0.66667,0.0249,0.01228,1.66348,4.01538,0.76688,0.000118424,0.000118424,0.000118424
6,16.7673,1.40684,3.68442,0.8335,0.0143,0.66667,0.03492,0.01713,1.58837,3.98649,0.76689,0.000141628,0.000141628,0.000141628
7,19.1193,1.3948,3.59516,0.84383,0.01454,0.66667,0.03721,0.02296,1.32141,3.93525,0.75262,0.000163701,0.000163701,0.000163701
8,21.5594,1.23471,3.50317,0.81627,0.01539,0.71429,0.044,0.03083,0.99218,3.92018,0.7302,0.000184641,0.000184641,0.000184641
9,24.6294,0.84654,3.47429,0.81446,0.01547,0.71429,0.04732,0.03244,0.82306,3.94285,0.71479,0.00020445,0.00020445,0.00020445
10,27.1244,0.90629,3.34306,0.76848,0.02023,0.7619,0.05106,0.03634,0.79246,3.94835,0.71444,0.000223127,0.000223127,0.000223127
11,29.3782,0.95779,3.25658,0.79172,0.01992,0.7619,0.04651,0.03397,0.82528,3.94944,0.72264,0.000240672,0.000240672,0.000240672
12,31.5071,0.91939,3.0509,0.78636,0.01992,0.7619,0.04651,0.03397,0.82528,3.94944,0.72264,0.000257086,0.000257086,0.000257086
13,34.0852,0.90798,3.18851,0.78309,0.03216,0.90476,0.05882,0.03848,0.88893,3.95168,0.72021,0.000272367,0.000272367,0.000272367
14,36.7167,0.80206,2.99136,0.80327,0.03855,1,0.06826,0.04283,0.88067,3.9322,0.71514,0.000286517,0.000286517,0.000286517
15,38.9403,0.76437,2.79873,0.82535,0.03855,1,0.06826,0.04283,0.88067,3.9322,0.71514,0.000299536,0.000299536,0.000299536
16,41.4642,0.76599,2.52758,0.7849,0.0336,0.95238,0.06237,0.04478,0.82105,3.89393,0.71798,0.000311422,0.000311422,0.000311422
17,43.9586,0.68736,2.59799,0.78173,0.03253,0.95238,0.06352,0.04584,0.80386,3.86439,0.71009,0.000322177,0.000322177,0.000322177
