epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56091,2.78496,8.29624,1.84251,0,0,0,0,1.18235,8.45554,1.57016,1.429e-05,1.429e-05,1.429e-05
2,8.39644,2.5557,8.33074,1.80159,0,0,0,0,1.3594,8.22389,1.5661,4.20212e-05,4.20212e-05,4.20212e-05
3,11.9999,2.71802,8.39268,1.69252,0,0,0,0,2.4055,8.23188,1.60065,6.86206e-05,6.86206e-05,6.86206e-05
4,15.7018,1.91983,7.98269,1.69551,0.00109,0.04762,0.00062,6e-05,2.91863,8.1288,1.66118,9.40882e-05,9.40882e-05,9.40882e-05
5,19.0873,2.44818,7.89892,1.74277,0.00109,0.04762,0.00063,0.00025,2.54735,7.99144,1.63035,0.000118424,0.000118424,0.000118424
6,22.8152,2.20438,7.8196,1.66429,0.00109,0.04762,0.00063,0.0005,1.98311,7.72489,1.57926,0.000141628,0.000141628,0.000141628
7,26.3144,2.3531,7.8646,1.64415,0.00109,0.04762,0.00063,0.00038,1.61539,7.71028,1.54763,0.000163701,0.000163701,0.000163701
8,29.7541,2.12972,7.35734,1.63533,0.00331,0.14286,0.00205,0.00128,1.68546,7.78033,1.56442,0.000184641,0.000184641,0.000184641
9,33.1363,2.66186,7.74792,1.67078,0.00331,0.14286,0.00205,0.00142,1.63848,8.08476,1.55462,0.00020445,0.00020445,0.00020445
10,36.7882,2.15927,7.40166,1.64923,0.00331,0.14286,0.00205,0.00142,1.79189,8.03071,1.54223,0.000223127,0.000223127,0.000223127
11,40.6268,1.90142,6.73211,1.65042,0.00221,0.09524,0.00126,0.00089,1.87143,8.06528,1.55255,0.000240672,0.000240672,0.000240672
12,44.0188,2.23047,6.79921,1.53083,0.00221,0.09524,0.00126,0.00089,1.87143,8.06528,1.55255,0.000257086,0.000257086,0.000257086
13,47.5095,2.37516,6.87438,1.63203,0.00331,0.14286,0.00205,0.00136,1.81215,7.9994,1.55733,0.000272367,0.000272367,0.000272367
14,51.2159,1.95682,6.77823,1.58359,0.0044,0.19048,0.00298,0.00216,1.7858,7.77874,1.55725,0.000286517,0.000286517,0.000286517
15,54.7464,1.90116,6.62539,1.5928,0.0044,0.19048,0.00298,0.00216,1.7858,7.77874,1.55725,0.000299536,0.000299536,0.000299536
16,58.47,2.3188,6.82563,1.57594,0.00327,0.14286,0.00234,0.0017,1.8066,7.74632,1.54586,0.000311422,0.000311422,0.000311422
